Country_Code,Year,WB_Pubs
LCN,1999,25578.4038610591
LCN,1998,23845.0573052471
LCN,1997,22349.4902793637
LCN,1996,19352.4981202917
LAC,2022,117450.7
LAC,2021,125621.97
LAC,2020,118706.05
LAC,2019,110278.48
LAC,2018,102947.99
LAC,2017,95757.01
LAC,2016,90015.63
LAC,2015,85395.64
LAC,2014,83143.51
LAC,2013,78989.28
LAC,2012,75660.27
LAC,2011,69884.72
LAC,2010,65857.56
LAC,2009,61262.84
LAC,2008,56752.1067990169
LAC,2007,50070.0635479747
LAC,2006,47275.3423274519
LAC,2005,38416.3818563396
LAC,2004,34227.6300031792
LAC,2003,31098.2010317667
LAC,2002,29007.1150830791
LAC,2001,25791.2633886864
LAC,2000,24038.5184107522
LAC,1999,22222.7749145156
LAC,1998,20589.3978828524
LAC,1997,18999.761355687
LAC,1996,16369.3963839234
TLA,2022,128337.29
TLA,2021,137376.91
TLA,2020,129412.22
TLA,2019,120170.75
TLA,2018,112032.21
TLA,2017,104210.9
TLA,2016,98237.19
TLA,2015,92656.98
TLA,2014,90372.43
TLA,2013,84977.77
TLA,2012,81846.48
TLA,2011,75403.05
TLA,2010,71438.24
TLA,2009,66570.97
TLA,2008,61986.5121817358
TLA,2007,54613.3170264237
TLA,2006,51434.4064080195
TLA,2005,42165.2129216443
TLA,2004,37567.6109529021
TLA,2003,34242.7066162931
TLA,2002,31814.0242305369
TLA,2001,28079.6502576753
TLA,2000,26191.7217180171
TLA,1999,24205.0394199925
TLA,1998,22500.7772525137
TLA,1997,21176.0533277677
TLA,1996,18338.7578497122
LDC,2022,23806.72
LDC,2021,22616.83
LDC,2020,17212.64
LDC,2019,14554.24
LDC,2018,11091.92
LDC,2017,9940.99
LDC,2016,8488.31
LDC,2015,7470.28
LDC,2014,7354.53
LDC,2013,6164.73
LDC,2012,5881.86
LDC,2011,5144.00953710537
LDC,2010,4785.85341589261
LDC,2009,4233.12972927613
LDC,2008,3802.85968348195
LDC,2007,3595.40185760761
LDC,2006,3121.09496895726
LDC,2005,2666.67607937923
LDC,2004,2365.72839782831
LDC,2003,2189.64958559568
LDC,2002,1865.93779418528
LDC,2001,1818.70571438877
LDC,2000,1725.61481348252
LDC,1999,1758.66749991238
LDC,1998,1725.89543058987
LDC,1997,1640.07093713271
LDC,1996,1518.86706546614
LMY,2022,1605912.33
LMY,2021,1442271.82
LMY,2020,1260286.42
LMY,2019,1158772.26
LMY,2018,1016884.69
LMY,2017,902668.51
LMY,2016,838269.88
LMY,2015,771864.92
LMY,2014,730563.05
LMY,2013,677544.98
LMY,2012,634903.1
LMY,2011,608145.664255165
LMY,2010,562844.242270961
LMY,2009,513157.523821552
LMY,2008,449938.909270046
LMY,2007,391591.514485955
LMY,2006,354473.474756378
LMY,2005,304742.276731659
LMY,2004,243608.755441659
LMY,2003,198137.95757113
LMY,2002,174688.609599429
LMY,2001,160662.320771057
LMY,2000,135634.087732449
LMY,1999,122932.092407324
LMY,1998,117792.196099666
LMY,1997,108008.621984285
LMY,1996,99095.4039502347
MEA,2022,206923.89
MEA,2021,189279.87
MEA,2020,164496.17
MEA,2019,150419.47
MEA,2018,129637.36
MEA,2017,118477.8
MEA,2016,109047.82
MEA,2015,97238.2
MEA,2014,91778.6
MEA,2013,85139.93
MEA,2012,80697.02
MEA,2011,75792.35
MEA,2010,65557.18
MEA,2009,58321.74
MEA,2008,50772.82
MEA,2007,43652.16
MEA,2006,38664.04
MEA,2005,33005.63
MEA,2004,29357.75
MEA,2003,26519.32
MEA,2002,23575.72
MEA,2001,21929.97
MEA,2000,20644.4
MEA,1999,18569.45
MEA,1998,18308.59
MEA,1997,17786.4121378837
MEA,1996,16757.2686819576
MNA,2022,152441.77
MNA,2021,140781.88
MNA,2020,123782.94
MNA,2019,115131.6
MNA,2018,98871.98
MNA,2017,89419.15
MNA,2016,81044.48
MNA,2015,70505.1
MNA,2014,66657.17
MNA,2013,61993.46
MNA,2012,59197.32
MNA,2011,56035.88
MNA,2010,47615.42
MNA,2009,41190.13
MNA,2008,34355.23
MNA,2007,27907.65
MNA,2006,23214.2
MNA,2005,18552.42
MNA,2004,15337.64
MNA,2003,13098.55
MNA,2002,10883.66
MNA,2001,9622.45
